種類,L1,L2,L3,L4,L1/L2,L4/L1
ハリママキノスミレ,52,24.9,43,9,2.09,0.173
ハリママキノスミレ,52.3,25.9,38.9,13.4,2.02,0.256
ハリママキノスミレ,55.4,30,37.7,17.7,1.85,0.319
ハリママキノスミレ,62.7,31.1,46.7,16,2.02,0.255
ハリママキノスミレ,74.9,34.1,52.9,22,2.2,0.294
ハリママキノスミレ,44.9,19.2,31.1,13.8,2.34,0.307
ハリママキノスミレ,48,21.9,36.5,11.5,2.19,0.24
ハリママキノスミレ,28.3,14.2,24.9,3.4,1.99,0.12
ハリママキノスミレ,41.1,20.1,31,10.1,2.04,0.246
ハリママキノスミレ,53.2,29.8,40.7,12.5,1.79,0.235
ハリママキノスミレ,64.5,28.5,47.5,17,2.26,0.264
ハリママキノスミレ,71,35,52.4,18.6,2.03,0.262
ハリママキノスミレ,57.4,22.1,47.5,9.9,2.6,0.172
ハリママキノスミレ,35.2,22.1,26.5,8.7,1.59,0.247
ハリママキノスミレ,38.3,18.2,30.2,8.1,2.1,0.211
ハリママキノスミレ,37.8,19.4,28,9.8,1.95,0.259
ハリママキノスミレ,42,21.9,28.7,13.3,1.92,0.317
ハリママキノスミレ,47.3,24.4,35.4,11.9,1.94,0.252
ハリママキノスミレ,48.8,21.4,37,11.8,2.28,0.242
ハリママキノスミレ,50.5,27.6,39.5,11,1.83,0.218
ハリママキノスミレ,50,23.2,40.5,9.5,2.16,0.19
ハリママキノスミレ,51.1,26.8,39.2,11.9,1.91,0.233
ハリママキノスミレ,55.2,28,43.2,12,1.97,0.217
ハリママキノスミレ,54.2,26.2,41.4,12.8,2.07,0.236
ハリママキノスミレ,53.3,29.2,40.5,12.8,1.83,0.24
ハリママキノスミレ,59.1,26.2,46.8,12.3,2.26,0.208
ハリママキノスミレ,59.3,27.6,40.8,18.5,2.15,0.312
ハリママキノスミレ,61.9,31,45.4,16.5,2,0.267
ハリママキノスミレ,61,28.6,49.7,11.3,2.13,0.185
ハリママキノスミレ,61.2,24.9,46.9,14.3,2.46,0.234
ハリママキノスミレ,65.3,31.9,53.2,12.1,2.05,0.185
ハリママキノスミレ,62.8,33.4,47.1,15.7,1.88,0.25
ハリママキノスミレ,30,20.4,22.5,7.5,1.47,0.25
ハリママキノスミレ,48.8,25,39.5,9.3,1.95,0.191
ハリママキノスミレ,50.6,25.5,41.8,8.8,1.98,0.174
ハリママキノスミレ,50.2,21.1,44.3,5.9,2.38,0.118
ハリママキノスミレ,54.1,26,48,6.1,2.08,0.113
ハリママキノスミレ,54.4,32.1,44.9,9.5,1.69,0.175
ハリママキノスミレ,55.7,24.8,49.5,6.2,2.25,0.111
ハリママキノスミレ,58.6,34,44.4,14.2,1.72,0.242
ハリママキノスミレ,65.4,28.2,52.9,12.5,2.32,0.191
ハリママキノスミレ,59.1,27.5,51.2,7.9,2.15,0.134
ハリママキノスミレ,64,36.3,49.7,14.3,1.76,0.223
ハリママキノスミレ,49.5,29.9,38.2,11.3,1.66,0.228
ハリママキノスミレ,49.1,23.7,36.8,12.3,2.07,0.251
ハリママキノスミレ,50.5,26,39.3,11.2,1.94,0.222
ハリママキノスミレ,54.4,23.2,45.5,8.9,2.34,0.164
ハリママキノスミレ,58.3,34.9,42.8,15.5,1.67,0.266
ハリママキノスミレ,61.8,33,49.3,12.5,1.87,0.202
ハリママキノスミレ,62.7,30.6,49.1,13.6,2.05,0.217
ハリママキノスミレ,65.8,24.4,52.6,13.2,2.7,0.201
ハリママキノスミレ,65.3,26.5,51,14.3,2.46,0.219
ハリママキノスミレ,42.2,21.2,30.2,12,1.99,0.284
ハリママキノスミレ,44.4,25.4,29.8,14.6,1.75,0.329
ハリママキノスミレ,45.4,27.9,31.8,13.6,1.63,0.3
ハリママキノスミレ,43,22.1,30.2,12.8,1.95,0.298
ハリママキノスミレ,48.3,24.8,35.2,13.1,1.95,0.271
ハリママキノスミレ,59.7,29.2,47.7,12,2.04,0.201
ハリママキノスミレ,54.1,24.3,39.4,14.7,2.23,0.272
ハリママキノスミレ,59,26.6,46.7,12.3,2.22,0.208
ハリママキノスミレ,58.4,29.1,39.5,18.9,2.01,0.324
ハリママキノスミレ,63.2,30,45.8,17.4,2.11,0.275
ハリママキノスミレ,65.5,30.4,47.2,18.3,2.15,0.279
ハリママキノスミレ,78.3,45.2,58.5,19.8,1.73,0.253
ハリママキノスミレ,39.7,21.5,28.7,11,1.85,0.277
ハリママキノスミレ,56.9,24.1,40.7,16.2,2.36,0.285
ハリママキノスミレ,70.4,34.4,51.6,18.8,2.05,0.267
ハリママキノスミレ,56.8,24,39.9,16.9,2.37,0.298
ハリママキノスミレ,47.3,23.9,34.8,12.5,1.98,0.264
ハリママキノスミレ,57.7,22.5,42.3,15.4,2.56,0.267
ハリママキノスミレ,53.8,25,39,14.8,2.15,0.275
ハリママキノスミレ,43.5,18.3,35.5,8,2.38,0.184
ハリママキノスミレ,35.5,18.6,25.8,9.7,1.91,0.273
ハリママキノスミレ,45.4,21.6,32.1,13.3,2.1,0.293
ハリママキノスミレ,57.6,24.3,43.5,14.1,2.37,0.245
ハリママキノスミレ,36.5,21,23.9,12.6,1.74,0.345
ハリママキノスミレ,59.1,24.6,38.2,20.9,2.4,0.354
ハリママキノスミレ,54.5,29.1,38.2,16.3,1.87,0.299
ハリママキノスミレ,32.9,21.3,22.8,10.1,1.54,0.307
ハリママキノスミレ,68.7,33.9,52.8,16,2.02,0.232
ハリママキノスミレ,74.1,31,58.8,15.4,2.39,0.207
ハリママキノスミレ,86.6,38,70.6,16,2.28,0.185
マキノスミレ,43.9,21.9,34.7,9.2,2,0.21
マキノスミレ,34.7,23.9,24.4,10.3,1.45,0.297
マキノスミレ,45.4,25.2,37.9,7.5,1.8,0.165
マキノスミレ,51,27,39.7,11.3,1.89,0.222
マキノスミレ,54,25.7,46.1,7.9,2.1,0.146
マキノスミレ,63.8,29.1,49.7,14.1,2.19,0.221
マキノスミレ,79.1,37.3,63.1,16,2.12,0.202
