種類,L1,L2,L3,L4,L1/L2,L4/L1
シハイスミレ,23.9,12.8,17.5,6.4,1.87,0.268
シハイスミレ,25.1,16.5,18.8,6.3,1.52,0.251
シハイスミレ,33.1,20.3,20.6,12.5,1.63,0.378
シハイスミレ,30.2,15.1,20.9,9.3,2,0.308
シハイスミレ,30.8,16,25.8,5,1.93,0.162
シハイスミレ,31.3,19.7,24.5,6.8,1.59,0.217
シハイスミレ,41.9,22.2,31.2,10.7,1.89,0.255
シハイスミレ,35.9,20,25.5,10.4,1.8,0.29
シハイスミレ,35.8,23.2,24.9,10.9,1.54,0.304
シハイスミレ,39.8,22.4,29.8,10,1.78,0.251
シハイスミレ,42,24.6,31.9,10.1,1.71,0.24
シハイスミレ,47.1,22.9,37,10.1,2.06,0.214
シハイスミレ,21.4,15.1,12.9,8.5,1.42,0.397
シハイスミレ,22.9,13.7,16.8,6.1,1.67,0.266
シハイスミレ,23.8,12.4,18.8,5,1.92,0.21
シハイスミレ,25,13.3,20.1,4.9,1.88,0.196
シハイスミレ,25.1,16.3,18.4,6.7,1.54,0.267
シハイスミレ,28.1,15.2,21.1,7,1.85,0.249
シハイスミレ,27,13.7,19.5,7.5,1.97,0.278
シハイスミレ,31.8,14.2,23.2,8.6,2.24,0.27
シハイスミレ,36.6,18.6,25,11.6,1.97,0.317
シハイスミレ,44,20.5,33,11,2.15,0.25
シハイスミレ,44.6,22.9,32,12.6,1.95,0.283
シハイスミレ,47.2,22.9,35.5,11.7,2.06,0.248
シハイスミレ,45.1,22.8,36,9.1,1.98,0.202
シハイスミレ,40.4,21.8,30.4,10,1.85,0.248
シハイスミレ,43,19,32,11,2.26,0.256
シハイスミレ,48.1,23,37.9,10.2,2.09,0.212
シハイスミレ,54,32.3,38,16,1.67,0.296
シハイスミレ,53.3,29.9,39,14.3,1.78,0.268
シハイスミレ,56,27,41,15,2.07,0.268
シハイスミレ,56.8,26.9,44,12.8,2.11,0.225
シハイスミレ,58.2,27.9,45.3,12.9,2.09,0.222
シハイスミレ,60.4,35,44.5,15.9,1.73,0.263
シハイスミレ,62.8,32,53.3,9.5,1.96,0.151
シハイスミレ,65.2,37.3,52.4,12.8,1.75,0.196
シハイスミレ,65.8,39,53.9,11.9,1.69,0.181
シハイスミレ,66,30.4,52,14,2.17,0.212
シハイスミレ,69.2,35.5,52.4,16.8,1.95,0.243
シハイスミレ,24.8,16,17.8,7,1.55,0.282
シハイスミレ,26,18.7,19,7,1.39,0.269
シハイスミレ,29,19,21,8,1.53,0.276
シハイスミレ,28,22,19,9,1.27,0.321
シハイスミレ,31,22,21,10,1.41,0.323
シハイスミレ,32,19,23,9,1.68,0.281
シハイスミレ,34,18.7,25,9,1.82,0.265
シハイスミレ,39,22,30,9,1.77,0.231
シハイスミレ,25.1,15.1,15.2,9.9,1.66,0.394
シハイスミレ,31.9,19.2,22.1,9.8,1.66,0.307
シハイスミレ,32.7,17.5,23,9.7,1.87,0.297
シハイスミレ,33,17.5,24,9,1.89,0.273
シハイスミレ,43,21,33,10,2.05,0.233
シハイスミレ,30,16.9,22.9,7.1,1.78,0.237
シハイスミレ,30.6,17.9,19.8,10.8,1.71,0.353
シハイスミレ,35.1,21.8,25,10.1,1.61,0.288
シハイスミレ,36.1,18.2,25.1,11,1.98,0.305
シハイスミレ,37.2,18,27.1,10.1,2.07,0.272
シハイスミレ,40.1,23,29.1,11,1.74,0.274
シハイスミレ,41.5,23.1,33.1,8.4,1.8,0.202
シハイスミレ,44.2,23,30.2,14,1.92,0.317
シハイスミレ,42.8,24.8,33.9,8.9,1.73,0.208
シハイスミレ,18.8,12.9,13.2,5.6,1.46,0.298
シハイスミレ,26.9,16.5,18.7,8.2,1.63,0.305
シハイスミレ,35,20.3,23.8,11.2,1.72,0.32
シハイスミレ,35.2,19.9,25.1,10.1,1.77,0.287
シハイスミレ,37.7,23.8,25.7,12,1.58,0.318
シハイスミレ,19.8,11.5,16.6,3.2,1.72,0.162
シハイスミレ,22.8,14.1,16.7,6.1,1.62,0.268
シハイスミレ,23.7,12.6,19.8,3.9,1.88,0.165
シハイスミレ,23.8,13.7,18.1,5.7,1.74,0.239
シハイスミレ,24.6,17.1,16.8,7.8,1.44,0.317
シハイスミレ,24.1,14.9,17.9,6.2,1.62,0.257
シハイスミレ,26.2,13,16.8,9.4,2.02,0.359
シハイスミレ,28.9,19.2,24.7,4.2,1.51,0.145
シハイスミレ,35.4,17.3,27.1,8.3,2.05,0.234
シハイスミレ,39.3,18.8,32.2,7.1,2.09,0.181
シハイスミレ,18.8,14.7,14.2,4.6,1.28,0.245
シハイスミレ,24.2,14.4,19.6,4.6,1.68,0.19
シハイスミレ,24.9,14.1,19.4,5.5,1.77,0.221
シハイスミレ,26,11.8,21,5,2.2,0.192
シハイスミレ,26.9,17.9,21.3,5.6,1.5,0.208
シハイスミレ,27.4,16.5,21.8,5.6,1.66,0.204
シハイスミレ,27.4,15.7,22.6,4.8,1.75,0.175
シハイスミレ,30,17.1,26.4,3.6,1.75,0.12
シハイスミレ,28.7,16,23.8,4.9,1.79,0.171
シハイスミレ,31,15.6,24.2,6.8,1.99,0.219
シハイスミレ,32.8,16.9,27.3,5.5,1.94,0.168
シハイスミレ,48.3,24.2,38.7,9.6,2,0.199
シハイスミレ,22.4,10,18.2,4.2,2.24,0.188
シハイスミレ,28.2,14.9,22,6.2,1.89,0.22
シハイスミレ,33.6,19,26.3,7.3,1.77,0.217
シハイスミレ,35,20.9,24.8,10.2,1.67,0.291
シハイスミレ,40,21,31.1,8.9,1.9,0.223
シハイスミレ,22.9,15,19.2,3.7,1.53,0.162
シハイスミレ,28.1,17.2,22.4,5.7,1.63,0.203
シハイスミレ,30.4,17.6,24.7,5.7,1.73,0.188
シハイスミレ,31.4,21.3,23.9,7.5,1.47,0.239
シハイスミレ,33.6,17,27.4,6.2,1.98,0.185
シハイスミレ,34.8,16,28,6.8,2.18,0.195
シハイスミレ,36.7,20,30.8,5.9,1.84,0.161
シハイスミレ,35.8,20.3,27.9,7.9,1.76,0.221
シハイスミレ,41.7,18.8,33,8.7,2.22,0.209
シハイスミレ,37.5,18.2,28.2,9.3,2.06,0.248
シハイスミレ,42.2,21.9,33.4,8.8,1.93,0.209
シハイスミレ,41.8,23,30.5,11.3,1.82,0.27
シハイスミレ,43.5,21.4,33.5,10,2.03,0.23
シハイスミレ,46,26.9,32.8,13.2,1.71,0.287
シハイスミレ,46,23.7,36,10,1.94,0.217
シハイスミレ,50,26,37.8,12.2,1.92,0.244
シハイスミレ,55.8,25.3,42.1,13.7,2.21,0.246
シハイスミレ,53.5,29,36.8,16.7,1.84,0.312
シハイスミレ,27.3,16.5,18.3,9,1.65,0.33
シハイスミレ,26.8,16,18.5,8.3,1.68,0.31
シハイスミレ,29.8,15.4,22.1,7.7,1.94,0.258
シハイスミレ,30.3,19.2,19.8,10.5,1.58,0.347
シハイスミレ,31.9,18.3,23.4,8.5,1.74,0.266
シハイスミレ,32.9,20.9,23.1,9.8,1.57,0.298
シハイスミレ,32.7,19.2,23.8,8.9,1.7,0.272
シハイスミレ,34,20,24.6,9.4,1.7,0.276
シハイスミレ,33,16.6,23.5,9.5,1.99,0.288
シハイスミレ,36.1,17.2,26,10.1,2.1,0.28
シハイスミレ,36.3,21.2,23.1,13.2,1.71,0.364
シハイスミレ,37.5,22,27.7,9.8,1.7,0.261
シハイスミレ,40.4,20.2,28.1,12.3,2,0.304
シハイスミレ,41.2,20.7,29.2,12,1.99,0.291
シハイスミレ,40.9,22.6,30,10.9,1.81,0.267
シハイスミレ,41.5,21.2,30.5,11,1.96,0.265
シハイスミレ,44.5,21.1,30.4,14.1,2.11,0.317
シハイスミレ,42.7,21.4,28.1,14.6,2,0.342
シハイスミレ,44.4,22.1,33.8,10.6,2.01,0.239
シハイスミレ,43,23.8,27.6,15.4,1.81,0.358
シハイスミレ,42.1,23.3,30.5,11.6,1.81,0.276
シハイスミレ,46.8,22,33.3,13.5,2.13,0.288
シハイスミレ,46.8,23.1,34.2,12.6,2.03,0.269
シハイスミレ,46.3,22.3,36.3,10,2.08,0.216
シハイスミレ,47,22,37,10,2.14,0.213
シハイスミレ,47.2,26.3,33.8,13.4,1.79,0.284
シハイスミレ,48.4,23.7,36.4,12,2.04,0.248
シハイスミレ,50.2,27.9,35.1,15.1,1.8,0.301
シハイスミレ,53.5,26.8,37.7,15.8,2,0.295
シハイスミレ,51.9,24.4,41.2,10.7,2.13,0.206
シハイスミレ,58.3,29,40.5,17.8,2.01,0.305
シハイスミレ,62.3,32.8,43.8,18.5,1.9,0.297
シハイスミレ,29.4,18,22.3,7.1,1.63,0.241
シハイスミレ,35,20.9,25.6,9.4,1.67,0.269
シハイスミレ,37.2,18.7,28.2,9,1.99,0.242
シハイスミレ,36.9,21.1,29.2,7.7,1.75,0.209
シハイスミレ,39.3,22.3,29.9,9.4,1.76,0.239
シハイスミレ,40,22.4,30,10,1.79,0.25
シハイスミレ,39.1,21.1,29.3,9.8,1.85,0.251
シハイスミレ,40.1,17.9,32.4,7.7,2.24,0.192
シハイスミレ,39.1,22.4,31.4,7.7,1.75,0.197
シハイスミレ,40,21.5,32.5,7.5,1.86,0.188
シハイスミレ,41.6,22,32.9,8.7,1.89,0.209
シハイスミレ,41.7,21.3,33.3,8.4,1.96,0.201
シハイスミレ,43.9,23.9,33.9,10,1.84,0.228
シハイスミレ,42.1,24.6,33.9,8.2,1.71,0.195
シハイスミレ,45.8,25.6,34.5,11.3,1.79,0.247
シハイスミレ,42,23.3,32.1,9.9,1.8,0.236
シハイスミレ,45.8,27.8,33.3,12.5,1.65,0.273
シハイスミレ,44.7,25.1,32.8,11.9,1.78,0.266
シハイスミレ,45.1,23.5,35.9,9.2,1.92,0.204
シハイスミレ,46.9,22.9,38,8.9,2.05,0.19
シハイスミレ,52.1,27,38.8,13.3,1.93,0.255
シハイスミレ,53.8,27.7,41.8,12,1.94,0.223
シハイスミレ,53,24.2,39.8,13.2,2.19,0.249
シハイスミレ,58,30,45.1,12.9,1.93,0.222
シハイスミレ,31.1,18.7,23,8.1,1.66,0.26
シハイスミレ,37.9,24.6,27.1,10.8,1.54,0.285
シハイスミレ,42.7,24.4,32.4,10.3,1.75,0.241
シハイスミレ,43.6,21.1,36.6,7,2.07,0.161
シハイスミレ,43.1,27.2,31.1,12,1.58,0.278
シハイスミレ,42.8,29.3,29.8,13,1.46,0.304
シハイスミレ,51.8,20.9,42.5,9.3,2.48,0.18
シハイスミレ,49.1,28.2,38,11.1,1.74,0.226
シハイスミレ,48.8,24.9,38.9,9.9,1.96,0.203
シハイスミレ,54.8,26,42.5,12.3,2.11,0.224
シハイスミレ,51.4,28.6,41.6,9.8,1.8,0.191
シハイスミレ,54,25.3,40.2,13.8,2.13,0.256
シハイスミレ,55,23.9,44.3,10.7,2.3,0.195
シハイスミレ,53.7,33.3,40.5,13.2,1.61,0.246
シハイスミレ,57,29,46.2,10.8,1.97,0.189
シハイスミレ,61.3,27,48,13.3,2.27,0.217
シハイスミレ,59.2,32.7,46.2,13,1.81,0.22
シハイスミレ,63.9,37,46.2,17.7,1.73,0.277
シハイスミレ,24.9,14,20.5,4.4,1.78,0.177
シハイスミレ,26,16.1,20.2,5.8,1.61,0.223
シハイスミレ,26.8,15.3,19.8,7,1.75,0.261
シハイスミレ,27.4,17.6,20.4,7,1.56,0.255
シハイスミレ,29.7,15.7,25.6,4.1,1.89,0.138
シハイスミレ,36.9,21.1,30.9,6,1.75,0.163
